"","Est","lower","upper","Coefficient","Sim"
"1",0.604267689312733,0.462022565682378,0.848477733089575,1,1
"2",0.702635522845787,0.571516216596242,0.976139017435481,2,1
"3",0.788588020620664,0.631575949235957,1.08629418187101,3,1
"4",-0.688125071131206,-1.03145027534849,-0.536118475262454,4,1
"5",-0.517649120492269,-0.764149249572767,-0.328382173601843,5,1
"6",-0.56927117289029,-0.86642713110936,-0.375833037642244,6,1
"7",0.288150010631197,0.123275060468574,0.456190903540515,7,1
"8",0.375519766018066,0.209924252831663,0.557548751389811,8,1
"9",0.348221405864857,0.255653181416163,0.568524629334137,9,1
"10",-0.0306589421015658,-0.277894810676663,0.0886089901226006,10,1
