"","Est","lower","upper","Coefficient","Sim"
"1",0.572258857147133,0.463728272025945,0.861493072624514,1,1
"2",0.759526653508074,0.630697322929939,1.06151581476531,2,1
"3",0.801121569085676,0.651068288421893,1.0641654615555,3,1
"4",-0.683728849939553,-1.04496423394574,-0.511754854084772,4,1
"5",-0.570437929873456,-0.828618364349637,-0.479824583752991,5,1
"6",-0.512777580245668,-0.729826169957727,-0.381971180709327,6,1
"7",0.255726810153191,0.198515057349092,0.521889474643006,7,1
"8",0.394823785710847,0.204823672888072,0.642814120089153,8,1
"9",0.317803689431994,0.155874137617993,0.543543011510114,9,1
"10",-0.0856711914632081,-0.349553459746367,0.070161928789659,10,1
